,city_fixed,address_fixed,full_2,full_3
14780,Київ Школа №257,Київ просп. Георгія Гонгадзе 7-Б, м.Київ  Подільський  Подільський район міста  просп. Георгія Гонгадзе  7-Б, Подільський  Подільський район міста  просп. Георгія Гонгадзе  7-Б
14781,Київ Школа №262,Київ вул. Галицька 5, м.Київ  Подільський  Подільський район міста  вул. Галицька  5, Подільський  Подільський район міста  вул. Галицька  5
14782,Київ Школа №271,Київ вул. Мостицька 16, м.Київ  Подільський  Подільський район міста  вул. Мостицька  16, Подільський  Подільський район міста  вул. Мостицька  16
14891,Дніпро Школа №5,Дніпро ул. Запорізьке шосе 12, Дніпропетровська область  м. Дніпро  Шевченківський район міста  ул. Запорізьке шосе  12, м. Дніпро  Шевченківський район міста  ул. Запорізьке шосе  12
14924,Київ Школа №326,Київ вул. Вишгородська 44-в, м.Київ  Оболонський  Оболонський район міста  вул. Вишгородська  44-в, Оболонський  Оболонський район міста  вул. Вишгородська  44-в
14938,Дніпро Школа №90,Дніпро 167 , Дніпропетровська область  м. Дніпро  вул. Надії Алексєєнко  167 , м. Дніпро  вул. Надії Алексєєнко  167 
14947,Дніпро Школа №11,Дніпро вул. Лазаряна 2, Дніпропетровська область  м. Дніпро  Соборний район міста  вул. Лазаряна  2, м. Дніпро  Соборний район міста  вул. Лазаряна  2
14963,Київ Школа №333,Київ вул. Чавдар 16, м.Київ  Дарницький  Дарницький район міста  вул. Чавдар  16, Дарницький  Дарницький район міста  вул. Чавдар  16
14965,Миколаїв ДНЗ №2,Миколаїв 51 а , Миколаївська область  м. Миколаїв  вул. Південна  51 а , м. Миколаїв  вул. Південна  51 а 
14967,Миколаїв ДНЗ №1,Миколаїв 6;7 , Миколаївська область  м. Миколаїв  вул. 28 Армії  6;7 , м. Миколаїв  вул. 28 Армії  6;7 
14973,Луцьк Школа №27,Луцьк 5 , Волинська область  м. Луцьк  вул. Олеся Гончара  5 , м. Луцьк  вул. Олеся Гончара  5 
14995,Київ Школа №332,Київ вул. Бориса Гмирі 2-в, м.Київ  Дарницький  Дарницький район міста  вул. Бориса Гмирі  2-в, Дарницький  Дарницький район міста  вул. Бориса Гмирі  2-в
14996,Київ Школа №334,Київ просп. Миколи Бажана 34-А, м.Київ  Дарницький  Дарницький район міста  просп. Миколи Бажана  34-А, Дарницький  Дарницький район міста  просп. Миколи Бажана  34-А
24095,Київ ДНЗ №24,Київ вул. Козацька 34  ,м.Київ Голосіївський вул. Козацька  34  ,Голосіївський вул. Козацька  34  
24096,Київ ДНЗ №32,Київ пров. Деміївський 4  ,м.Київ Голосіївський пров. Деміївський  4  ,Голосіївський пров. Деміївський  4  
24097,Київ ДНЗ №41,Київ вул. Деміївська 35 A  ,м.Київ Голосіївський вул. Деміївська  35 A  ,Голосіївський вул. Деміївська  35 A  
24098,Київ ДНЗ №61,Київ вул. Тарасівська 13  ,м.Київ Голосіївський вул. Тарасівська  13  ,Голосіївський вул. Тарасівська  13  
24099,Київ ДНЗ №64,Київ вул. Набережно-Корчуватська 56/66  ,м.Київ Голосіївський вул. Набережно-Корчуватська  56/66  ,Голосіївський вул. Набережно-Корчуватська  56/66  
24100,Київ ДНЗ №73,Київ вул. Генерала Матикіна 5  ,м.Київ Голосіївський вул. Генерала Матикіна  5  ,Голосіївський вул. Генерала Матикіна  5  
24101,Київ ДНЗ №92,Київ вул. Антоновича 4/2  ,м.Київ Голосіївський вул. Антоновича  4/2  ,Голосіївський вул. Антоновича  4/2  
24102,Київ ДНЗ №117,Київ вул. Гайдара 13  ,м.Київ Голосіївський вул. Гайдара  13  ,Голосіївський вул. Гайдара  13  
24103,Київ ДНЗ №118,Київ вул. Тарасівська 6А  ,м.Київ Голосіївський вул. Тарасівська  6А  ,Голосіївський вул. Тарасівська  6А  
24104,Київ ДНЗ №121,Київ вул. Китаївська 32  ,м.Київ Голосіївський вул. Китаївська  32  ,Голосіївський вул. Китаївська  32  
24105,Київ ДНЗ №129,Київ вул. Володимирська 89 А  ,м.Київ Голосіївський вул. Володимирська  89 А  ,Голосіївський вул. Володимирська  89 А  
24106,Київ ДНЗ №131,Київ вул. Деміївська 49  ,м.Київ Голосіївський вул. Деміївська  49  ,Голосіївський вул. Деміївська  49  
24107,Київ ДНЗ №150,Київ вул. Дмитра Луценка 13 А  ,м.Київ Голосіївський вул. Дмитра Луценка  13 А  ,Голосіївський вул. Дмитра Луценка  13 А  
24108,Київ ДНЗ №157,Київ пров. Коломиївський 9-А  ,м.Київ Голосіївський пров. Коломиївський  9-А  ,Голосіївський пров. Коломиївський  9-А  
24109,Київ ДНЗ №158,Київ вул. Микільсько-Ботанічна 7/9  ,м.Київ Голосіївський вул. Микільсько-Ботанічна  7/9  ,Голосіївський вул. Микільсько-Ботанічна  7/9  
24110,Київ ДНЗ №182,Київ вул. Академіка Заболотного 138А  ,м.Київ Голосіївський вул. Академіка Заболотного  138А  ,Голосіївський вул. Академіка Заболотного  138А  
24111,Київ ДНЗ №196,Київ вул. Дмитра Луценка 13  ,м.Київ Голосіївський вул. Дмитра Луценка  13  ,Голосіївський вул. Дмитра Луценка  13  
24112,Київ ДНЗ №198,Київ вул. Васильківська 10  ,м.Київ Голосіївський вул. Васильківська  10  ,Голосіївський вул. Васильківська  10  
24113,Київ ДНЗ №221,Київ ал. Проспект Голосіївський 114А   ,м.Київ Голосіївський ал. Проспект Голосіївський 114А    ,Голосіївський ал. Проспект Голосіївський 114А    
24114,Київ ДНЗ №238,Київ вул. Васильківська 18 Б  ,м.Київ Голосіївський вул. Васильківська  18 Б  ,Голосіївський вул. Васильківська  18 Б  
24115,Київ ДНЗ №253,Київ вул. Антоновича 108  ,м.Київ Голосіївський вул. Антоновича  108  ,Голосіївський вул. Антоновича  108  
24116,Київ ДНЗ №262,Київ вул. Жилянська 84  ,м.Київ Голосіївський вул. Жилянська  84  ,Голосіївський вул. Жилянська  84  
24117,Київ ДНЗ №28,Київ пр-т Академіка Глушкова 41 Б  ,м.Київ Голосіївський пр-т Академіка Глушкова  41 Б  ,Голосіївський пр-т Академіка Глушкова  41 Б  
24118,Київ ДНЗ №305,Київ вул. Ліснича 3   ,м.Київ Голосіївський вул. Ліснича 3    ,Голосіївський вул. Ліснича 3    
